iter	Passed	Remaining
0	54	54566
1	55	27458
2	55	18474
3	55	13943
4	56	11224
5	56	9425
6	57	8135
7	57	7151
8	58	6386
9	58	5772
10	58	5272
11	58	4855
12	59	4504
13	59	4211
14	60	3949
15	60	3720
16	60	3515
17	61	3335
18	61	3172
19	61	3026
20	62	2894
21	62	2776
22	62	2668
23	63	2567
24	63	2479
25	63	2395
26	64	2316
27	64	2241
28	64	2172
29	65	2108
30	65	2047
31	65	1992
32	66	1940
33	66	1891
34	66	1843
35	67	1800
36	67	1758
37	67	1719
38	68	1682
39	68	1647
40	69	1614
41	69	1587
42	70	1558
43	70	1527
44	70	1498
45	71	1473
46	71	1447
47	71	1424
48	72	1399
49	72	1377
50	72	1355
51	73	1335
52	73	1314
53	73	1295
54	74	1275
55	74	1257
56	74	1239
57	75	1221
58	75	1204
59	75	1188
60	76	1172
61	76	1157
62	76	1143
63	77	1130
64	77	1116
65	77	1102
66	78	1089
67	78	1077
68	78	1064
69	79	1052
70	79	1040
71	79	1030
72	80	1019
73	80	1008
74	80	998
75	81	988
76	81	979
77	81	969
78	82	959
79	82	949
80	82	941
81	83	933
82	83	922
83	83	914
84	84	907
85	84	899
86	85	892
87	85	884
88	85	877
89	86	871
90	86	863
91	86	856
92	87	850
93	87	844
94	87	836
95	88	830
96	88	823
97	88	817
98	89	811
99	89	806
100	89	800
101	90	795
102	90	789
103	91	784
104	91	780
105	91	774
106	92	768
107	92	763
108	92	758
109	93	753
110	93	748
111	93	743
112	94	738
113	94	734
114	94	729
115	95	725
116	95	720
117	95	715
118	96	711
119	96	707
120	96	702
121	96	697
122	97	693
123	97	689
124	97	685
125	98	681
126	98	676
127	98	673
128	99	670
129	99	666
130	99	663
131	100	659
132	100	656
133	101	653
134	101	650
135	101	647
136	102	644
137	103	645
138	103	642
139	104	639
140	104	636
141	104	632
142	105	629
143	105	626
144	105	623
145	106	620
146	106	618
147	106	615
148	107	613
149	107	610
150	108	607
151	108	605
152	108	603
153	109	600
154	109	597
155	109	594
156	110	592
157	110	589
158	111	587
159	111	584
160	111	581
161	111	578
162	112	576
163	112	574
164	113	572
165	113	569
166	113	567
167	114	565
168	114	563
169	114	561
170	115	558
171	115	556
172	115	554
173	116	552
174	116	549
175	116	547
176	117	545
177	117	543
178	118	541
179	118	539
180	118	537
181	119	535
182	119	533
183	119	532
184	120	530
185	120	528
186	121	527
187	121	525
188	122	523
189	122	522
190	122	520
191	123	519
192	123	517
193	124	515
194	124	513
195	124	511
196	125	509
197	125	507
198	125	506
199	126	504
200	126	502
201	126	500
202	127	498
203	127	497
204	127	495
205	127	493
206	128	491
207	128	489
208	129	488
209	129	486
210	129	485
211	130	483
212	130	482
213	130	481
214	131	479
215	131	478
216	132	477
217	132	476
218	133	474
219	133	473
220	133	471
221	134	469
222	134	468
223	134	466
224	135	465
225	135	463
226	135	461
227	136	460
228	136	459
229	136	458
230	137	456
231	137	455
232	137	453
233	138	452
234	138	450
235	138	449
236	139	447
237	139	446
238	139	444
239	140	443
240	140	442
241	140	440
242	141	439
243	141	438
